requisito,objetivo,tarefas,casos,estado,evidencia_real,comparacao_objetivo_executado
R17,"SQLCipher, mídia AEAD, cofre por envelopes, hash, audit trail before/after sanitizado e gestão segura de chaves.",T01|T03|T04|T10,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T03-C01|T03-C02|T03-C03|T03-C04|T03-C05|T03-C06|T03-C07|T04-C01|T04-C02|T04-C03|T04-C04|T04-C05|T04-C06|T04-C07|T04-C08|T04-C09|T04-C10|T10-C01|T10-C02|T10-C03|T10-C04|T10-C05|T10-C06|T10-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R18,"Pacote Windows x64 portátil: Python 3.13.15 embutido, Host WPF .NET Framework 4.8 e WebView2; sem SDK no cliente.",T01|T16,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T16-C01|T16-C02|T16-C03|T16-C04|T16-C05|T16-C06|T16-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R19,"Launcher/Host WebView2, instância única, backend persistente, reabertura pública limpa e encerramento cooperativo.",T01|T05|T11|T12|T16,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T05-C01|T05-C02|T05-C03|T05-C04|T05-C05|T05-C06|T11-C01|T11-C02|T11-C03|T11-C04|T11-C05|T11-C06|T11-C07|T11-C08|T11-C09|T11-C10|T12-C01|T12-C02|T12-C03|T12-C04|T12-C05|T12-C06|T16-C01|T16-C02|T16-C03|T16-C04|T16-C05|T16-C06|T16-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R20,"Até três estações registradas, exatamente uma escritora por dataset/generation e transferência manual; sem multiwriter offline.",T14|T16,T14-C01|T14-C02|T14-C03|T14-C04|T14-C05|T14-C06|T14-C07|T14-C08|T14-C09|T14-C10|T14-C11|T14-C12|T14-C13|T16-C01|T16-C02|T16-C03|T16-C04|T16-C05|T16-C06|T16-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R21,"Persistência transacional, revisão otimista, idempotência, journal de arquivos e recuperação de queda.",T03|T08|T10,T03-C01|T03-C02|T03-C03|T03-C04|T03-C05|T03-C06|T03-C07|T08-C01|T08-C02|T08-C03|T08-C04|T08-C05|T08-C06|T08-C07|T08-C08|T08-C09|T08-C10|T10-C01|T10-C02|T10-C03|T10-C04|T10-C05|T10-C06|T10-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R22,"Backups automáticos/manuais, restauração testada, recuperação, retenção e export de recuperação separado.",T14,T14-C01|T14-C02|T14-C03|T14-C04|T14-C05|T14-C06|T14-C07|T14-C08|T14-C09|T14-C10|T14-C11|T14-C12|T14-C13,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R23,"Patch manual assinado, staging, migração em cópia, aceite e rollback sem perder dados posteriores.",T15,T15-C01|T15-C02|T15-C03|T15-C04|T15-C05|T15-C06|T15-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R24,Versionamento BA/ES/IN/SE e autoridade única VERSION.json/current.json.,T01|T15,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T15-C01|T15-C02|T15-C03|T15-C04|T15-C05|T15-C06|T15-C07,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R25,Ambiente de testes totalmente isolado de produção e reset seguro sem apagar AuthStore.,T04|T13|T14,T04-C01|T04-C02|T04-C03|T04-C04|T04-C05|T04-C06|T04-C07|T04-C08|T04-C09|T04-C10|T13-C01|T13-C02|T13-C03|T13-C04|T13-C05|T13-C06|T13-C07|T13-C08|T14-C01|T14-C02|T14-C03|T14-C04|T14-C05|T14-C06|T14-C07|T14-C08|T14-C09|T14-C10|T14-C11|T14-C12|T14-C13,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R26,Google Drive preparado por interface/configuração não secreta e explicitamente desativado na V1.,T17,T17-C01|T17-C02|T17-C03|T17-C04,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R27,Integração fiscal oficial preparada por interface e explicitamente desativada na V1.,T17,T17-C01|T17-C02|T17-C03|T17-C04,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R28,Integração de rastreamento preparada por interface e explicitamente desativada na V1.,T17,T17-C01|T17-C02|T17-C03|T17-C04,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R29,Arquitetura separa domínio/API/arquivos/integrações para futura hospedagem sem criar dependência online na V1.,T05|T17,T05-C01|T05-C02|T05-C03|T05-C04|T05-C05|T05-C06|T17-C01|T17-C02|T17-C03|T17-C04,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R30,"GitHub não é requisito operacional da V1; sem credenciais, repositório remoto ou workflow obrigatório.",T01|T17,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T17-C01|T17-C02|T17-C03|T17-C04,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R31,"Revisão inline por função, gate por tarefa e integração completa com evidências reproduzíveis.",T15|T18,T15-C01|T15-C02|T15-C03|T15-C04|T15-C05|T15-C06|T15-C07|T18-C01|T18-C02|T18-C03|T18-C04|T18-C05|T18-C06|T18-C07|T18-C08|T18-C09|T18-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R32,Somente defeitos não bloqueantes podem entrar em AJUSTES_FUTUROS.log; segurança/dados/valores/update não são adiáveis.,T18,T18-C01|T18-C02|T18-C03|T18-C04|T18-C05|T18-C06|T18-C07|T18-C08|T18-C09|T18-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R33,"Entrega reproduzível com binários, código-fonte ao proprietário, SBOM/licenças, hashes, snapshot, manuais e recovery.",T01|T18,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T18-C01|T18-C02|T18-C03|T18-C04|T18-C05|T18-C06|T18-C07|T18-C08|T18-C09|T18-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R34,"Erros compreensíveis, logs sem segredos/PII desnecessária, correlation id e ações críticas auditadas.",T03|T05|T18,T03-C01|T03-C02|T03-C03|T03-C04|T03-C05|T03-C06|T03-C07|T05-C01|T05-C02|T05-C03|T05-C04|T05-C05|T05-C06|T18-C01|T18-C02|T18-C03|T18-C04|T18-C05|T18-C06|T18-C07|T18-C08|T18-C09|T18-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R35,Copyright CRJ preservado e separado do branding personalizável e licenças de terceiros.,T01|T13,T01-C01|T01-C02|T01-C03|T01-C04|T01-C05|T01-C06|T01-C07|T01-C08|T01-C09|T13-C01|T13-C02|T13-C03|T13-C04|T13-C05|T13-C06|T13-C07|T13-C08,NAO_EXECUTADO,,Pendente de implementação e evidência real.
R36,"Retomada por outra IA via checkpoint, hashes, matriz requisito→tarefa→caso→evidência e invalidação seletiva de provas.",T18,T18-C01|T18-C02|T18-C03|T18-C04|T18-C05|T18-C06|T18-C07|T18-C08|T18-C09|T18-C10,NAO_EXECUTADO,,Pendente de implementação e evidência real.
