id,section,historical_item,decision,canonical_resolution,tasks,cases,target_version,reason
H050,3 Catálogo,Custo interno,MANTER,catalog_prices.estimated_cost_cents,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H051,3 Catálogo,Ativo/inativo,MANTER,active,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H052,3 Catálogo,Observações,MANTER,notes,T07,T07-C01,V1,Lacunas 1.0 corrigidas.
H053,3 Catálogo,Preço antigo não muda,MANTER,catalog_prices por vigência + snapshot em subscription/charge items,T07,T07-C02,V1,
H054,4 Assinaturas,Cliente,MANTER,client_id,T07,T07-C03,V1,
H055,4 Assinaturas,Veículo ou frota,MANTER,subscription_items.vehicle_id; agrupamento por cliente/frota nos relatórios,T07,T07-C03|T07-C09,V1,
H056,4 Assinaturas,Plano,MANTER,catalog plan item,T07,T07-C03,V1,
H057,4 Assinaturas,Itens adicionais,MANTER,subscription_items,T07,T07-C03,V1,
H058,4 Assinaturas,Data assinatura,MANTER,signed_on,T07,T07-C03,V1,
H059,4 Assinaturas,Data início,MANTER,start_on,T07,T07-C03,V1,
H060,4 Assinaturas,Vencimento,MANTER,due_day + charge.due_on,T07,T07-C03,V1,
H061,4 Assinaturas,Valor contratado,MANTER,itens congelados por versão,T07,T07-C03,V1,
H062,4 Assinaturas,Desconto/acréscimo,MANTER,charge adjustments / subscription price snapshot,T07,T07-C03,V1,
H063,4 Assinaturas,Periodicidade,MANTER,billing_interval_months,T07,T07-C03,V1,
H064,4 Assinaturas,Prazo validade,MANTER,end_on,T07,T07-C03|T07-C09,V1,
H065,4 Assinaturas,Renovação,MANTER,renewal_mode,T07,T07-C03|T07-C09,V1,
H066,4 Assinaturas,Ativa/Suspensa/Cancelada/Encerrada,MANTER,lifecycle ACTIVE/PAUSED/CANCELLED/ENDED,T07,T07-C06,V1,
H067,4 Assinaturas,Aguardando pagamento/Em atraso,SUBSTITUIR,financial_status derivado de charges/saldo/due+grace,T07,T07-C04,V1,Não duplicar estado financeiro em contrato.
H068,4 Assinaturas,Histórico de preço/plano/status,MANTER,subscription_versions + status_events + charge snapshots,T07,T07-C02|T07-C06,V1,
H069,5.1 Financeiro,Competência,MANTER,charge.competence,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H070,5.1 Financeiro,Data vencimento,MANTER,charge.due_on + due events,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H071,5.1 Financeiro,Valor previsto,MANTER,charge effective net,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H072,5.1 Financeiro,Valor pago,MANTER,payments/allocations/credits,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H073,5.1 Financeiro,Data pagamento,MANTER,paid_on,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H074,5.1 Financeiro,Forma pagamento,MANTER,method,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H075,5.1 Financeiro,Desconto,MANTER,adjustment DISCOUNT,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H076,5.1 Financeiro,Juros,MANTER,adjustment INTEREST manual,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H077,5.1 Financeiro,Multa,MANTER,adjustment PENALTY manual,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H078,5.1 Financeiro,Situação,MANTER,derivada por saldo/due,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H079,5.1 Financeiro,Observações,MANTER,payment/charge notes/events,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H080,5.1 Financeiro,Referência/comprovante,MANTER,external_ref textual,T07|T08,T07-C07|T08-C01|T08-C06,V1,
H081,5.2 Regras financeiras,Pagamento integral/parcial,MANTER,allocations parciais,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H082,5.2 Regras financeiras,Desconto manual,MANTER,adjustments,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H083,5.2 Regras financeiras,Multa/juros,MANTER,adjustments manuais; sem taxa legal automática,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H084,5.2 Regras financeiras,Período tolerância,MANTER,default_grace_days configurável,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H085,5.2 Regras financeiras,Suspensão inadimplência,SUBSTITUIR,manual; overdue apenas alerta,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H086,5.2 Regras financeiras,Cancelamento,MANTER,subscription lifecycle manual,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H087,5.2 Regras financeiras,Estorno,MANTER,payment_reversal integral,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H088,5.2 Regras financeiras,Crédito futuro,MANTER,client_credits + credit_allocations,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H089,5.2 Regras financeiras,Alteração vencimento,MANTER,due date event,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H090,5.2 Regras financeiras,Reajuste mensalidade,MANTER,nova subscription version effective_month,T07|T08|T13,T07-C04|T07-C07|T07-C08|T08-C02|T08-C09|T13-C06,V1,Sem automação jurídica/operacional perigosa.
H091,6 Despesas,Geral,MANTER,links nulos,T09,T09-C01,V1,
H092,6 Despesas,Cliente,MANTER,client_id,T09,T09-C01,V1,
H093,6 Despesas,Veículo,MANTER,vehicle_id,T09,T09-C01,V1,
H094,6 Despesas,Assinatura,MANTER,subscription_id,T09,T09-C01,V1,
H095,6 Despesas,Equipamento/serviço específico,MANTER,catalog_id + vehicle_id quando aplicável,T09,T09-C01,V1,
H096,6 Despesas,Descrição,MANTER,description,T09,T09-C01,V1,
H097,6 Despesas,Categoria,MANTER,expense category editável,T09,T09-C01,V1,
H098,6 Despesas,Fornecedor,MANTER,supplier,T09,T09-C01,V1,
H099,6 Despesas,Data,MANTER,created/due/paid dates,T09,T09-C01,V1,
H100,6 Despesas,Competência,MANTER,competence,T09,T09-C01,V1,
H101,6 Despesas,Valor previsto,MANTER,expected effective cents,T09,T09-C01,V1,
H102,6 Despesas,Valor pago,MANTER,disbursements,T09,T09-C01,V1,
H103,6 Despesas,Recorrência,MANTER,expense_recurrences,T09,T09-C02|T09-C08,V1,
H104,6 Despesas,Forma pagamento,MANTER,disbursement.method,T09,T09-C01,V1,
H105,6 Despesas,Situação,MANTER,derivada/VOID,T09,T09-C01,V1,
H106,6 Despesas,Observações,MANTER,notes,T09,T09-C01,V1,
H107,7 Cálculos,Receita mensal prevista,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H108,7 Cálculos,Receita recebida,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H109,7 Cálculos,Valores em aberto,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H110,7 Cálculos,Valores vencidos,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H111,7 Cálculos,Despesas previstas,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H112,7 Cálculos,Despesas pagas,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H113,7 Cálculos,Lucro bruto/resultado,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H114,7 Cálculos,Margem,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H115,7 Cálculos,Receita recorrente,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H116,7 Cálculos,Receita por cliente,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H117,7 Cálculos,Custo por cliente,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H118,7 Cálculos,Custo por veículo,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H119,7 Cálculos,Resultado por plano,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H120,7 Cálculos,Resultado por serviço,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H121,7 Cálculos,Clientes lucrativos/deficitários,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H122,7 Cálculos,Inadimplência por período,MANTER,Dashboard/ReportService cash+accrual,T11,T11-C01|T11-C02|T11-C09|T11-C10,V1,
H123,7 Cálculos,Regime caixa/competência,MANTER,Ambos disponíveis; filtro basis obrigatório,T11,T11-C01,V1,Decisão aberta resolvida: ambos.
H124,8 Dashboard,Clientes ativos,MANTER,Summary/dashboard,T11,T11-C02,V1,
H125,8 Dashboard,Veículos ativos,MANTER,Summary/dashboard,T11,T11-C02,V1,
H126,8 Dashboard,Assinaturas ativas,MANTER,Summary/dashboard,T11,T11-C02,V1,
H127,8 Dashboard,Mensalidades do mês,MANTER,Summary/dashboard,T11,T11-C02,V1,
H128,8 Dashboard,Receita prevista/recebida,MANTER,Summary/dashboard,T11,T11-C02,V1,
H129,8 Dashboard,Aberto/vencido,MANTER,Summary/dashboard,T11,T11-C02,V1,
H130,8 Dashboard,Gastos,MANTER,Summary/dashboard,T11,T11-C02,V1,
H131,8 Dashboard,Lucro/prejuízo,MANTER,Summary/dashboard,T11,T11-C02,V1,
H132,8 Dashboard,Margem,MANTER,Summary/dashboard,T11,T11-C02,V1,
H133,8 Dashboard,Próximos vencimentos,MANTER,Summary/dashboard,T11,T11-C02,V1,
H134,8 Dashboard,Clientes inadimplentes,MANTER,Summary/dashboard,T11,T11-C02,V1,
H135,8 Dashboard,Evolução mensal,MANTER,Summary/dashboard,T11,T11-C02,V1,
H136,8 Dashboard,Receitas x despesas,MANTER,Summary/dashboard,T11,T11-C02,V1,
H137,8 Dashboard,Distribuição por plano,MANTER,Summary/dashboard,T11,T11-C02,V1,
H138,8 Dashboard,Situação das sincronizações,SUBSTITUIR,IntegrationStatus PREPARED_DISABLED na V1; sync real futuro,T11|T17,T11-C07|T17-C01,V1,Não simular Drive.
H139,9 Pesquisa,Nome cliente,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H140,9 Pesquisa,CPF/CNPJ,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H141,9 Pesquisa,Telefone,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H142,9 Pesquisa,E-mail,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H143,9 Pesquisa,Placa,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H144,9 Pesquisa,Veículo,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H145,9 Pesquisa,Plano,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H146,9 Pesquisa,Assinatura,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H147,9 Pesquisa,Cobrança,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H148,9 Pesquisa,Pagamento,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H149,9 Pesquisa,Despesa,MANTER,SearchService global admin-only,T11,T11-C03,V1,
H150,9 Tabelas,Ordenação,MANTER,DataTable padrão,T12,T12-C03,V1,
H151,9 Tabelas,Filtros,MANTER,DataTable padrão,T12,T12-C03,V1,
H152,9 Tabelas,Pesquisa local,MANTER,DataTable padrão,T12,T12-C03,V1,
H153,9 Tabelas,Paginação,MANTER,DataTable padrão,T12,T12-C03,V1,
H154,9 Tabelas,Totais financeiros,MANTER,DataTable padrão,T12,T12-C03,V1,
H155,9 Tabelas,Seleção de linhas,MANTER,DataTable padrão,T12,T12-C03,V1,
H156,9 Tabelas,Detalhes/edição,MANTER,DataTable padrão,T12,T12-C03,V1,
H157,9 Tabelas,Status por cor+rótulo,MANTER,DataTable padrão,T12,T12-C03,V1,
H158,9 Tabelas,Preparação exportação,MANTER,DataTable padrão,T12,T12-C03,V1,
H159,10 Personalização,Nome empresa,MANTER,company_legal_name,T13,T13-C01,V1,
H160,10 Personalização,Nome exibido sistema,MANTER,company_display_name/UStracker default,T13,T13-C01,V1,
H161,10 Personalização,Logotipo,MANTER,branding logo,T13,T13-C01,V1,
H162,10 Personalização,Ícone principal,MANTER,favicon/app icon slots,T13,T13-C01,V1,
H163,10 Personalização,Pacote de ícones,MANTER,icon slots allowlist,T13,T13-C01,V1,
H164,10 Personalização,Cores institucionais,MANTER,theme token allowlist,T13,T13-C01,V1,
H165,10 Personalização,Contato,MANTER,phone/email/address display,T13,T13-C01,V1,
H166,10 Personalização,Textos e rodapé,MANTER,display texts; copyright protegido,T13,T13-C01,V1,
H167,10 Personalização,Preferências visuais,MANTER,theme settings permitidos,T13,T13-C01,V1,
H168,11 Segurança,Senha administrativa por sessão,MANTER,AuthService + sessions,T04,T04-C03,V1,
H169,11 Segurança,Perfis futuros operador/consulta,ADIAR,V1 somente ADMIN/PUBLIC; RBAC futuro requer novo plano,T17,T17-C04,V2,Revisão posterior fixou dois acessos.
H170,11 Auditoria,Usuário,MANTER,audit_events actor/time/action/entity/before_json/after_json/origin,T03,T03-C06,V1,
H171,11 Auditoria,Data/hora,MANTER,audit_events actor/time/action/entity/before_json/after_json/origin,T03,T03-C06,V1,
H172,11 Auditoria,Operação,MANTER,audit_events actor/time/action/entity/before_json/after_json/origin,T03,T03-C06,V1,
H173,11 Auditoria,Registro afetado,MANTER,audit_events actor/time/action/entity/before_json/after_json/origin,T03,T03-C06,V1,
H174,11 Auditoria,Valor anterior e novo,MANTER,audit_events actor/time/action/entity/before_json/after_json/origin,T03,T03-C06,V1,
H175,11 Auditoria,Origem,MANTER,audit_events actor/time/action/entity/before_json/after_json/origin,T03,T03-C06,V1,
H176,12 Lifecycle,Backend permanece após fechar janela,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H177,12 Lifecycle,Instância única,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H178,12 Lifecycle,Detecção porta/PID segura,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H179,12 Lifecycle,Recuperação após falha,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H180,12 Lifecycle,Reabertura,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H181,12 Lifecycle,Logs start/stop,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H182,12 Lifecycle,Encerrar controlado,MANTER,Host/LifecycleService; X faz logout do Shell e mantém backend,T04|T05|T16,T05-C05|T16-C02|T16-C03|T16-C04|T16-C06|T04-C09,V1,Sessão não reaparece após X.
H183,13 Fotos,Validação conteúdo,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H184,13 Fotos,Orientação,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H185,13 Fotos,Remoção metadados,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H186,13 Fotos,Resize,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H187,13 Fotos,Compressão,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H188,13 Fotos,Miniatura,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H189,13 Fotos,SHA-256,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H190,13 Fotos,Deduplicação,MANTER,Deduplicação por dataset/hash operacional/transformação; referência compartilhada protegida,T10,T10-C07,V1,
H191,13 Fotos,Salvamento local,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H192,13 Fotos,Original opcional,MANTER,MediaService pipeline cifrado,T10,T10-C01|T10-C02|T10-C03,V1,
H193,13 Fotos,Fila de sincronização Drive,ADIAR,Nenhum upload/download real V1; metadata local IntegrationStatus,T17,T17-C01,V2,Drive desativado.
H194,14 Offline,Operar offline consulta/cadastro/pagamento/despesa/fotos/dashboard,MANTER,Domínio operacional offline com dataset cifrado e PUBLIC separado,T17|T18,T18-C01|T17-C02,V1,
H195,14 Offline,SQLite local como fonte operacional,MANTER,Production dataset local SQLCipher,T03|T05,T03-C04,V1,
H196,14 Drive,OAuth Drive,ADIAR,Provider interface disabled/501; nenhuma rede V1,T17,T17-C02,V2,Explicitamente futuro.
H197,14 Drive,Upload/download Drive,ADIAR,Provider interface disabled/501; nenhuma rede V1,T17,T17-C02,V2,Explicitamente futuro.
H198,14 Drive,Manifest remoto Drive,ADIAR,Provider interface disabled/501; nenhuma rede V1,T17,T17-C02,V2,Explicitamente futuro.
H199,14 Drive,Sync dados/imagens,ADIAR,Provider interface disabled/501; nenhuma rede V1,T17,T17-C02,V2,Explicitamente futuro.
H200,14 Drive,Imagem somente nuvem,ADIAR,Provider interface disabled/501; nenhuma rede V1,T17,T17-C02,V2,Explicitamente futuro.
H201,14 Drive,Conflito sync,ADIAR,Provider interface disabled/501; nenhuma rede V1,T17,T17-C02,V2,Explicitamente futuro.
H202,14 Update,Manifest/hash/assinatura/backup/atomic/rollback,MANTER,Updater manual local assinado,T15,T15-C01|T15-C02,V1,Transporte online não necessário.
H203,15 Concorrência,Uma máquina escritora,MANTER,writer station única,T14,T14-C05,V1,Decisão aberta resolvida.
H204,15 Concorrência,Duas máquinas offline sincronizam depois,EXCLUIR,Não implementado; requer servidor/conflito explícito futuro,T17,T17-C04,V2+,Evitar split-brain.
H205,16 Hosting,Separação interface/API/regras/banco/arquivos/auth/integrações,MANTER,Arquitetura modular/adapters; sem deploy V1,T17,T17-C04,V1,Preparação não é implementação.
H206,16 Hosting,PostgreSQL futuro,ADIAR,Arquitetura modular/adapters; sem deploy V1,T17,T17-C04,V2+,Preparação não é implementação.
H207,16 Hosting,Storage objetos futuro,ADIAR,Arquitetura modular/adapters; sem deploy V1,T17,T17-C04,V2+,Preparação não é implementação.
H208,16 Hosting,HTTPS futuro,ADIAR,Arquitetura modular/adapters; sem deploy V1,T17,T17-C04,V2+,Preparação não é implementação.
H209,16 Hosting,multiusuário remoto futuro,ADIAR,Arquitetura modular/adapters; sem deploy V1,T17,T17-C04,V2+,Preparação não é implementação.
H210,16 Hosting,portal/app cliente futuro,ADIAR,Arquitetura modular/adapters; sem deploy V1,T17,T17-C04,V2+,Preparação não é implementação.
H211,17 Rastreamento,Provider tracking interface,ADIAR,Identificadores locais + provider disabled; nenhuma ação externa,T06|T17,T17-C01,V2,Futuro.
H212,17 Rastreamento,external_tracker_id,ADIAR,Identificadores locais + provider disabled; nenhuma ação externa,T06|T17,T17-C01,V2,Futuro.
H213,17 Rastreamento,integration_provider/status,ADIAR,Identificadores locais + provider disabled; nenhuma ação externa,T06|T17,T17-C01,V2,Futuro.
H214,17 Rastreamento,webhooks/API,ADIAR,Identificadores locais + provider disabled; nenhuma ação externa,T06|T17,T17-C01,V2,Futuro.
H215,17 Rastreamento,mapa/coords/bloqueio/telemetria/comandos,ADIAR,Identificadores locais + provider disabled; nenhuma ação externa,T06|T17,T17-C01,V2,Futuro.
H216,18 Backup,Backup automático,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H217,18 Backup,Backup manual,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H218,18 Backup,Retenção,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H219,18 Backup,Integrity check,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H220,18 Backup,Pré-update,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H221,18 Backup,Recovery crash,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H222,18 Backup,Atomic writes,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H223,18 Backup,Proteção duplicidade,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
